time_utc,backbone_probability,saocp_threshold,static_threshold,catalog_active,static_point_label,saocp_point_label
2014-06-29 08:47:11.609,0.3064502478,0.5924693942,0.82,0,0,0
2014-06-29 08:48:51.861,0.3314830661,0.5924693942,0.82,0,0,0
2014-06-29 08:50:33.369,0.3533024192,0.5924693942,0.82,0,0,0
2014-06-29 08:52:11.937,0.3716734052,0.5924693942,0.82,0,0,0
2014-06-29 08:53:52.048,0.388448298,0.5924693942,0.82,0,0,0
2014-06-29 08:55:29.076,0.4050319195,0.5924693942,0.82,0,0,0
2014-06-29 08:57:07.611,0.4230591059,0.5924693942,0.82,0,0,0
2014-06-29 08:58:46.214,0.4436427951,0.5924693942,0.82,0,0,0
2014-06-29 09:00:26.324,0.4661423266,0.5924693942,0.82,0,0,0
2014-06-29 09:02:04.894,0.4883745909,0.5924693942,0.82,0,0,0
2014-06-29 09:03:37.302,0.5080150366,0.5924693942,0.82,0,0,0
2014-06-29 09:05:25.113,0.52333951,0.5924693942,0.82,0,0,0
2014-06-29 09:07:00.601,0.5330300927,0.5924693942,0.82,0,0,0
2014-06-29 09:08:37.632,0.5360311866,0.5924693942,0.82,0,0,0
2014-06-29 09:10:17.738,0.5319641829,0.5924693942,0.82,0,0,0
2014-06-29 09:11:56.308,0.5218923092,0.5924693942,0.82,0,0,0
2014-06-29 09:13:33.480,0.508082509,0.5924693942,0.82,0,0,0
2014-06-29 09:15:12.046,0.49279809,0.5924693942,0.82,0,0,0
2014-06-29 09:16:50.617,0.4798232913,0.5924693942,0.82,0,0,0
2014-06-29 09:18:29.046,0.4922199547,0.5924693942,0.82,0,0,0
2014-06-29 09:19:59.914,0.4898759723,0.5924693942,0.82,0,0,0
2014-06-29 09:21:40.164,0.4921650887,0.5924693942,0.82,0,0,0
2014-06-29 09:23:21.812,0.4963561893,0.5924693942,0.82,0,0,0
2014-06-29 09:25:00.382,0.5005694628,0.5924693942,0.82,0,0,0
2014-06-29 09:26:38.953,0.5025473833,0.5924693942,0.82,0,0,0
2014-06-29 09:28:17.519,0.5009683967,0.5924693942,0.82,0,0,0
2014-06-29 09:29:56.093,0.4959744215,0.5924693942,0.82,0,0,0
2014-06-29 09:31:34.660,0.4865190387,0.5924693942,0.82,0,0,0
2014-06-29 09:33:13.226,0.4726918936,0.5924693942,0.82,0,0,0
2014-06-29 09:34:51.800,0.4520422816,0.5924693942,0.82,0,0,0
2014-06-29 09:36:24.207,0.4243987203,0.5924693942,0.82,0,0,0
2014-06-29 09:38:12.015,0.3883188963,0.5924693942,0.82,0,0,0
2014-06-29 09:39:47.507,0.34484303,0.5924693942,0.82,0,0,0
2014-06-29 09:41:26.074,0.2975638509,0.5924693942,0.82,0,0,0
2014-06-29 09:43:04.644,0.252808243,0.5924693942,0.82,0,0,0
2014-06-29 09:44:43.214,0.2141906321,0.5924693942,0.82,0,0,0
2014-06-29 09:46:21.781,0.1824191213,0.5924693942,0.82,0,0,0
2014-06-29 09:48:00.351,0.1579761207,0.5924693942,0.82,0,0,0
2014-06-29 09:49:41.859,0.1400112063,0.5924693942,0.82,0,0,0
2014-06-29 09:51:17.488,0.1270008087,0.5924693942,0.82,0,0,0
2014-06-29 09:52:52.156,0.1175935417,0.5924693942,0.82,0,0,0
2014-06-29 09:54:37.742,0.1106496975,0.5924693942,0.82,0,0,0
2014-06-29 09:56:13.199,0.1049937755,0.5924693942,0.82,0,0,0
2014-06-29 09:57:51.765,0.1004984379,0.5924693942,0.82,0,0,0
2014-06-29 09:59:30.339,0.09725397825,0.5924693942,0.82,0,0,0
2014-06-29 10:01:08.906,0.09545131028,0.5924693942,0.82,0,0,0
2014-06-29 10:02:47.476,0.09489114583,0.5924693942,0.82,0,0,0
2014-06-29 10:04:26.046,0.09568313509,0.5924693942,0.82,0,0,0
2014-06-29 10:06:04.613,0.09868218005,0.5924693942,0.82,0,0,0
2014-06-29 10:07:43.183,0.1047528833,0.5924693942,0.82,0,0,0
2014-06-29 10:09:15.589,0.1147047654,0.5924693942,0.82,0,0,0
