run,method,split,status,matching,unmatched_prediction_rule,truth_events,predicted_events,static_threshold,tp,fp,fn,precision,recall,f1,saocp_coverage,saocp_lifetime,saocp_policy,block_size,mean_threshold,std_threshold,minimum_threshold,maximum_threshold
cnn_lstm_f33_w64,static,locked_test,locked_one_to_one,maximum_cardinality_one_to_one_any_positive_overlap,every_unmatched_constructed_event_is_fp,230,227,0.9,154,73,76,0.6784140969162996,0.6695652173913044,0.6739606126914661,,,,,,,,
cnn_lstm_f33_w64,saocp,locked_test,locked_one_to_one,maximum_cardinality_one_to_one_any_positive_overlap,every_unmatched_constructed_event_is_fp,230,246,,175,71,55,0.7113821138211383,0.7608695652173914,0.7352941176470589,0.95,16,positive_singleton,64,0.7747001051902771,0.15343007445335388,0.5000013709068298,1.0
cnn_lstm_f34_w32,static,locked_test,locked_one_to_one,maximum_cardinality_one_to_one_any_positive_overlap,every_unmatched_constructed_event_is_fp,230,498,0.74,188,310,42,0.37751004016064255,0.8173913043478261,0.5164835164835165,,,,,,,,
cnn_lstm_f34_w32,saocp,locked_test,locked_one_to_one,maximum_cardinality_one_to_one_any_positive_overlap,every_unmatched_constructed_event_is_fp,230,212,,168,44,62,0.7924528301886793,0.7304347826086957,0.7601809954751132,0.95,16,positive_singleton,64,0.7813581824302673,0.1642753779888153,0.5000335574150085,1.0
cnn_lstm_f34_w64,static,locked_test,locked_one_to_one,maximum_cardinality_one_to_one_any_positive_overlap,every_unmatched_constructed_event_is_fp,230,411,0.82,182,229,48,0.44282238442822386,0.7913043478260869,0.5678627145085804,,,,,,,,
cnn_lstm_f34_w64,saocp,locked_test,locked_one_to_one,maximum_cardinality_one_to_one_any_positive_overlap,every_unmatched_constructed_event_is_fp,230,229,,170,59,60,0.74235807860262,0.7391304347826086,0.7407407407407407,0.95,16,positive_singleton,64,0.7827180624008179,0.15860751271247864,0.5000244975090027,1.0
cnn_lstm_f34_w128,static,locked_test,locked_one_to_one,maximum_cardinality_one_to_one_any_positive_overlap,every_unmatched_constructed_event_is_fp,230,372,0.86,181,191,49,0.48655913978494625,0.7869565217391304,0.6013289036544851,,,,,,,,
cnn_lstm_f34_w128,saocp,locked_test,locked_one_to_one,maximum_cardinality_one_to_one_any_positive_overlap,every_unmatched_constructed_event_is_fp,230,242,,171,71,59,0.7066115702479339,0.7434782608695653,0.7245762711864407,0.95,16,positive_singleton,64,0.7662926316261292,0.16542209684848785,0.5000100135803223,1.0
