catalog_event_id,begin,end,origin,duration_hours,nearest_other_catalog_gap_hours,isolated_at_48_hours,lstm_static_catalog_coverage,lstm_saocp_catalog_coverage,lstm_coverage_gain,lstm_unrelated_events_in_display,cnn_lstm_static_catalog_coverage,cnn_lstm_saocp_catalog_coverage,cnn_lstm_coverage_gain,cnn_lstm_unrelated_events_in_display,unet_static_catalog_coverage,unet_saocp_catalog_coverage,unet_coverage_gain,unet_unrelated_events_in_display,runet_static_catalog_coverage,runet_saocp_catalog_coverage,runet_coverage_gain,runet_unrelated_events_in_display,minimum_saocp_catalog_coverage,minimum_coverage_gain,mean_coverage_gain,all_saocp_coverages_at_least_0_5,all_saocp_coverages_improve,unrelated_display_events_total,clean_fixed_12h_display,eligible_before_display_filter,eligible,selection_rank,selected
154,2013-11-11 18:00:00,2013-11-12 08:00:00,FP,14,59.85,True,0.8615745437,0,-0.8615745437,1,0.9877173611,0.3341882738,-0.6535290873,0,0.559620377,0.974012004,0.414391627,0,0.559620377,0.1132387698,-0.4463816071,0,0,-0.8615745437,-0.3867734028,False,False,1,False,False,False,,False
155,2013-11-23 00:08:00,2013-11-23 15:35:00,Chinchilla,15.45,80.41666667,True,0,0,0,0,0.1718044768,0,-0.1718044768,0,0,0.161266379,0.161266379,0,0,0,0,0,0,-0.1718044768,-0.002634524452,False,False,0,True,False,False,,False
156,2013-11-27 00:00:00,2013-11-29 00:00:00,Lepping,48,51.55,True,0,0,0,0,0.05587454282,0.233266794,0.1773922512,0,0,0.3820057234,0.3820057234,0,0,0,0,0,0,0,0.1398494936,False,False,0,True,False,False,,False
157,2013-12-01 03:33:00,2013-12-03 03:11:00,Chinchilla,47.63333333,51.55,True,0.7980280791,0.7162649289,-0.08176315022,0,0.9047633835,0.8618473408,-0.04291604269,0,0.7790668824,0.8594891416,0.08042225916,0,0.7784838465,0.8331367098,0.05465286331,0,0.7162649289,-0.08176315022,0.002598982389,True,False,0,True,False,False,,False
158,2013-12-08 16:06:00,2013-12-09 01:58:00,Chinchilla,9.866666667,132.9166667,True,0.1389746622,0,-0.1389746622,0,0,0,0,0,0,0.1582596565,0.1582596565,0,0,0,0,0,0,-0.1389746622,0.004821248592,False,False,0,True,False,False,,False
159,2013-12-15 16:47:00,2013-12-16 01:22:00,Chinchilla,8.583333333,158.8166667,True,1,0.2394387055,-0.7605612945,0,0.9882780259,0.2169271521,-0.7713508738,0,0.9850908414,0.4527293851,-0.5323614563,0,0.9850908414,1,0.01490915858,0,0.2169271521,-0.7713508738,-0.5123411165,False,False,0,True,False,False,,False
160,2013-12-25 03:59:00,2013-12-25 18:35:00,Chinchilla,14.6,218.6166667,True,0.7572517123,0.877873554,0.1206218417,0,0.8286141553,0.7685210997,-0.06009305556,0,0.7068200723,0.8810509703,0.174230898,0,0.1910921043,0,-0.1910921043,0,0,-0.1910921043,0.01091689498,False,False,0,True,False,False,,False
161,2014-01-30 15:22:00,2014-02-01 07:30:00,Chi,40.13333333,114.7,True,0,0.7828873131,0.7828873131,0,0.203136005,0.8618329734,0.6586969684,0,0,0.7569685424,0.7569685424,0,0,0.1934862542,0.1934862542,0,0.1934862542,0.1934862542,0.5980097695,False,True,0,True,False,False,,False
162,2014-02-06 02:12:00,2014-02-07 16:18:00,Chinchilla,38.1,16.05,False,0.4012959318,0.7996492126,0.3983532808,1,0.8550056139,0.8722296734,0.01722405949,0,0.04809260717,0.9914237314,0.9433311242,1,0.0531032371,0.8923710411,0.839267804,0,0.7996492126,0.01722405949,0.5495440671,True,True,2,False,False,False,,False
163,2014-02-08 08:21:00,2014-02-09 15:35:00,FP,31.23333333,16.05,False,0.9162419246,0.283391809,-0.6328501156,0,0.915380354,0,-0.915380354,0,0.2215886339,0.5052105923,0.2836219584,0,0.2198486393,0,-0.2198486393,0,0,-0.915380354,-0.3711142876,False,False,0,True,False,False,,False
